Residenza;Destinazione;valore
piemonte;VAL D'AOSTA;214
piemonte;LOMBARDIA;1377
piemonte;TRENTO;69
piemonte;VENETO;160
piemonte;FRIULI VENEZIA GIULIA;71
piemonte;LIGURIA;448
piemonte;EMILIA ROMAGNA;312
piemonte;TOSCANA;220
piemonte;UMBRIA;113
piemonte;MARCHE;81
piemonte;LAZIO;208
piemonte;ABRUZZO;60
piemonte;MOLISE;25
piemonte;CAMPANIA;93
piemonte;PUGLIA;109
piemonte;BASILICATA;41
piemonte;CALABRIA;105
piemonte;SICILIA;206
piemonte;SARDEGNA;92
val d'aosta;PIEMONTE;61
val d'aosta;LOMBARDIA;17
val d'aosta;TRENTO;7
val d'aosta;VENETO;5
val d'aosta;FRIULI VENEZIA GIULIA;3
val d'aosta;LIGURIA;6
val d'aosta;EMILIA ROMAGNA;5
val d'aosta;TOSCANA;8
val d'aosta;UMBRIA;1
val d'aosta;MARCHE;2
val d'aosta;LAZIO;9
val d'aosta;ABRUZZO;1
val d'aosta;MOLISE;1
val d'aosta;CAMPANIA;1
val d'aosta;PUGLIA;5
val d'aosta;BASILICATA;1
val d'aosta;CALABRIA;2
val d'aosta;SICILIA;3
val d'aosta;SARDEGNA;3
lombardia;PIEMONTE;485
lombardia;VAL D'AOSTA;32
lombardia;TRENTO;100
lombardia;VENETO;383
lombardia;FRIULI VENEZIA GIULIA;66
lombardia;LIGURIA;137
lombardia;EMILIA ROMAGNA;756
lombardia;TOSCANA;225
lombardia;UMBRIA;140
lombardia;MARCHE;89
lombardia;LAZIO;188
lombardia;ABRUZZO;42
lombardia;MOLISE;16
lombardia;CAMPANIA;114
lombardia;PUGLIA;81
lombardia;BASILICATA;23
lombardia;CALABRIA;83
lombardia;SICILIA;189
lombardia;SARDEGNA;64
trento;PIEMONTE;17
trento;VAL D'AOSTA;2
trento;LOMBARDIA;90
trento;VENETO;140
trento;FRIULI VENEZIA GIULIA;14
trento;LIGURIA;8
trento;EMILIA ROMAGNA;67
trento;TOSCANA;29
trento;UMBRIA;8
trento;MARCHE;15
trento;LAZIO;26
trento;ABRUZZO;4
trento;CAMPANIA;8
trento;PUGLIA;11
trento;BASILICATA;2
trento;CALABRIA;4
trento;SICILIA;10
trento;SARDEGNA;3
veneto;PIEMONTE;98
veneto;VAL D'AOSTA;13
veneto;LOMBARDIA;495
veneto;TRENTO;216
veneto;FRIULI VENEZIA GIULIA;398
veneto;LIGURIA;25
veneto;EMILIA ROMAGNA;524
veneto;TOSCANA;106
veneto;UMBRIA;64
veneto;MARCHE;46
veneto;LAZIO;137
veneto;ABRUZZO;20
veneto;MOLISE;8
veneto;CAMPANIA;736
veneto;PUGLIA;37
veneto;BASILICATA;10
veneto;CALABRIA;15
veneto;SICILIA;64
veneto;SARDEGNA;22
friuli venezia giulia;PIEMONTE;49
friuli venezia giulia;VAL D'AOSTA;10
friuli venezia giulia;LOMBARDIA;121
friuli venezia giulia;TRENTO;45
friuli venezia giulia;VENETO;413
friuli venezia giulia;LIGURIA;15
friuli venezia giulia;EMILIA ROMAGNA;73
friuli venezia giulia;TOSCANA;46
friuli venezia giulia;UMBRIA;31
friuli venezia giulia;MARCHE;19
friuli venezia giulia;LAZIO;60
friuli venezia giulia;ABRUZZO;8
friuli venezia giulia;MOLISE;4
friuli venezia giulia;CAMPANIA;32
friuli venezia giulia;PUGLIA;17
friuli venezia giulia;BASILICATA;5
friuli venezia giulia;CALABRIA;7
friuli venezia giulia;SICILIA;36
friuli venezia giulia;SARDEGNA;16
liguria;PIEMONTE;316
liguria;VAL D'AOSTA;14
liguria;LOMBARDIA;355
liguria;TRENTO;26
liguria;VENETO;51
liguria;FRIULI VENEZIA GIULIA;24
liguria;EMILIA ROMAGNA;105
liguria;TOSCANA;270
liguria;UMBRIA;72
liguria;MARCHE;17
liguria;LAZIO;75
liguria;ABRUZZO;8
liguria;MOLISE;5
liguria;CAMPANIA;24
liguria;PUGLIA;22
liguria;BASILICATA;11
liguria;CALABRIA;15
liguria;SICILIA;36
liguria;SARDEGNA;21
emilia romagna;PIEMONTE;108
emilia romagna;VAL D'AOSTA;23
emilia romagna;LOMBARDIA;726
emilia romagna;TRENTO;78
emilia romagna;VENETO;282
emilia romagna;FRIULI VENEZIA GIULIA;65
emilia romagna;LIGURIA;62
emilia romagna;TOSCANA;231
emilia romagna;UMBRIA;118
emilia romagna;MARCHE;268
emilia romagna;LAZIO;181
emilia romagna;ABRUZZO;71
emilia romagna;MOLISE;33
emilia romagna;CAMPANIA;159
emilia romagna;PUGLIA;118
emilia romagna;BASILICATA;52
emilia romagna;CALABRIA;81
emilia romagna;SICILIA;149
emilia romagna;SARDEGNA;43
toscana;PIEMONTE;103
toscana;VAL D'AOSTA;11
